x,y,led_value
0.0,0.0,0.0
19.0,0.0,0.0
38.0,0.0,0.0
57.0,0.0,0.0
76.0,0.0,0.0
95.0,0.0,0.0
0.0,19.0,0.0
19.0,19.0,0.0
38.0,19.0,0.0
57.0,19.0,0.0
76.0,19.0,0.0
95.0,19.0,0.0
0.0,38.0,0.0
19.0,38.0,0.0
38.0,38.0,0.0
57.0,38.0,0.0
76.0,38.0,0.0
95.0,38.0,0.0
0.0,57.0,0.0
19.0,57.0,0.0
38.0,57.0,0.0
57.0,57.0,0.0
76.0,57.0,0.0
95.0,57.0,0.0
0.0,76.0,0.0
19.0,76.0,64.0
38.0,76.0,48.0
57.0,76.0,0.0
76.0,76.0,0.0
95.0,76.0,0.0
0.0,95.0,0.0
19.0,95.0,12.0
38.0,95.0,7.0
57.0,95.0,0.0
76.0,95.0,0.0
95.0,95.0,0.0
